TYPE ECA
VALUE tg
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4275 124392 KALTENNORDHEIM -9999 9 50.6233 10.1413 487 
4276 126420 NEUBURG/DONAU(FLUGPLATZ) 11.3 0 48.7055 11.206 380 
4277 124416 KASSEL-HARLESHAUSEN -9999 9 51.3345 9.451 198 
4278 124428 KAUFBEUREN -9999 9 47.8595 10.601 716 
4279 910856 LECHFELD 11.4 0 48.1765 10.85 562 
4280 124452 KEHL-ODELSHOFEN -9999 9 48.555 7.87517 141 
4281 121032 KIEL-HOLTENAU 13 0 54.372 10.1397 27 
4282 124476 KIRCHBERG/JAGST-HERBOLDSHAUSEN 12 0 49.1755 9.97517 426 
4283 124488 KIRCHDORF/POEL 13.2 0 54.0005 11.4348 12 
4284 124500 BADEN-BADEN-GEROLDSAU 13.8 0 48.7233 8.24133 240 
4285 124512 BADKISSINGEN 12.8 0 50.222 10.0748 282 
4286 124524 MULLHEIM 13.4 0 47.8042 7.63683 273 
4287 124536 KITZINGEN 14.8 0 49.7355 10.1742 188 
4288 124548 KLEINERFELDBERG/TAUNUS 9.5 0 50.2202 8.44217 826 
4289 129756 WITTENBORN 12.4 0 53.9195 10.225 39 
4290 124572 KLEINERINSELSBERG 8.9 0 50.8415 10.4755 732 
4291 100133 BERLIN-DAHLEM 13.7 0 52.4583 13.301 51 
4292 124596 KLETTWITZ 12.8 0 51.554 13.8852 128 
4293 124608 KLEVE 13.3 0 51.7575 6.09067 46 
4294 124620 KLIPPENECK 10.2 0 48.1038 8.75333 973 
4295 124632 KLITZSCHENBEITORGAU 13.6 0 51.5188 12.9047 85 
4296 124644 KNITTLINGEN -9999 9 49.0232 8.75383 200 
4297 910516 KOBLENZFALCKENSTEIN-KASERNE 15.4 0 50.3667 7.5765 97 
4298 125304 KOLN-STAMMHEIM 15.5 0 50.9877 6.97367 43 
4299 124680 BADKONIGSHOFEN 12.2 0 50.2845 10.4413 288 
4300 124692 KONIGSMOOR -9999 9 53.2242 9.652 40 
4301 124704 BAIERSBRONN-OBERTAL -9999 9 48.5248 8.27067 622 
4302 126420 NEUBURG/DONAU(FLUGPLATZ) 11.3 0 48.7055 11.206 380 
4303 124728 KOSCHING 10.8 0 48.8252 11.4863 417 
4304 124740 BADKOSEN -9999 9 51.1338 11.7227 136 
4305 124752 KOTERBERG -9999 9 51.8538 9.32167 496 
4306 124764 KOTHEN(ANHALT) 14.3 0 51.7517 12.0055 76 
4307 124776 BADKOHLGRUB(ROSSHOF) 10.7 0 47.6595 11.0757 740 
4308 124788 KORBACH-LENGEFELD -9999 9 51.2672 8.82567 395 
4309 124800 BAINDT -9999 9 47.8385 9.657 467 
4310 124812 KRONACH 11.7 0 50.252 11.3198 312 
4311 124824 KRUMBACH-EDENHAUSEN -9999 9 48.251 10.4172 520 
