TYPE ECA
VALUE rr
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4180 100164 HAMBURGFUHLSBUETTEL 0 0 53.6343 9.98733 11 
4181 123262 HAMBURG-KIRCHWERDER -9999 9 53.4203 10.1418 2 
4182 123274 HAMBURG-NEUWIEDENTHAL 0 0 53.4742 9.89233 3 
4183 123286 HAMBURG-REITBROOK -9999 9 53.4695 10.1757 1 
4184 100164 HAMBURGFUHLSBUETTEL 0 0 53.6343 9.98733 11 
4185 123310 ARTERN 0 0 51.372 11.2892 164 
4186 100164 HAMBURGFUHLSBUETTEL 0 0 53.6343 9.98733 11 
4187 122122 HAMELN-HASTENBECK 0 0 52.0765 9.40483 77 
4188 123346 AACH -9999 9 47.8385 8.85017 478 
4189 124318 KAHL/MAIN 2.6 0 50.0593 8.98983 107 
4190 123370 HANKENSBUTTEL -9999 9 52.7195 10.6 108 
4191 123382 HARBURG 1.5 0 48.789 10.7045 502 
4192 123394 ASCHAFFENBURG -9999 9 49.974 9.1075 110 
4194 123418 HARZGERODE 0 0 51.6518 11.1358 404 
4195 129070 MITTELNKIRCHEN-HOHENFELDE 0 0 53.5517 9.6055 1 
4197 123454 HAUSSTEIN -9999 9 48.8583 13.0677 648 
4198 123466 HECHINGEN 3.3 0 48.3722 8.97517 522 
4199 123478 WEDDINGSTEDT -9999 9 54.2183 9.08517 10 
4200 125866 MEHRINGEN 0 1 51.7228 11.5075 107 
4201 123502 HEIDELBERG -9999 9 49.4197 8.66767 110 
4202 123514 KONIGSTUHL -9999 9 49.3928 8.72217 561 
4203 121234 MANNHEIM 2.2 0 49.506 8.553 96 
4204 123538 HEIDENHEIM/BRENZ -9999 9 48.6705 10.1265 500 
4205 123550 HEIDENROD-MAPPERSHAIN -9999 9 50.1688 7.99067 496 
4206 123562 HEILBRONN -9999 9 49.1407 9.23383 167 
4207 123574 HEINSBERG-SCHLEIDEN 2 0 51.0388 6.10267 57 
4208 123586 ASSLARKLEIN-ALTENSTADTEN -9999 9 50.5752 8.46817 200 
4209 129598 UMMENDORF 0 0 52.157 11.1727 162 
4210 121666 ELPERSBUTTEL 0 0 54.0692 9.00683 3 
4211 123622 HERFORD -9999 9 52.1233 8.68583 77 
4212 123634 HERLESHAUSEN -9999 9 51.0035 10.1697 215 
4213 123646 HERRENBERG -9999 9 48.589 8.85317 430 
